dateTime,measure,value
2023-08-05T19:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.140
2023-08-05T19:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.132
2023-08-05T19:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.133
2023-08-05T18:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.138
2023-08-05T18:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.131
2023-08-05T18:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.138
2023-08-05T18:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.147
2023-08-05T17:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.153
2023-08-05T17:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.160
2023-08-05T17:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.173
2023-08-05T17:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.189
2023-08-05T16:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.204
2023-08-05T16:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.219
2023-08-05T16:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.236
2023-08-05T16:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.258
2023-08-05T15:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.280
2023-08-05T15:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.304
2023-08-05T15:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.329
2023-08-05T15:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.354
2023-08-05T14:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.379
2023-08-05T14:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.400
2023-08-05T14:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.411
2023-08-05T14:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.410
2023-08-05T13:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.395
2023-08-05T13:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.390
2023-08-05T13:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.411
2023-08-05T13:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.445
2023-08-05T12:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.469
2023-08-05T12:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.489
2023-08-05T12:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.502
2023-08-05T12:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.517
2023-08-05T11:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.536
2023-08-05T11:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.557
2023-08-05T11:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.578
2023-08-05T11:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.595
2023-08-05T10:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.616
2023-08-05T10:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.636
2023-08-05T10:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.653
2023-08-05T10:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.653
2023-08-05T09:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.643
2023-08-05T09:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.644
2023-08-05T09:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.628
2023-08-05T09:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4163-level-stage-i-15_min-mASD,0.546
