Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,VJ35,VJ36,VJ68,VJ37,VJ38,VJ39,VJ40,VJ41,VJ42,VJ43,VJ44,VJ45,VJ57,VJ58,VJ59,VJ46,VJ47,VJ48,VJ49,VJ50,VJ51,VJ52,VJ53,VJ54,VJ55,VJ56,VJ60,VJ61,VJ62,VJ63,VJ64,VJ65,VJ66,VJ67
Line,->,->,->,->,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
RouteID,->,->,->,->,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2
Journey Code,->,->,->,->,110645,110800,110825,111000,111100,111200,111300,111400,111500,111600,111700,111800,112000,112200,112320,610800,610830,611000,611100,611200,611300,611400,611500,611600,611700,611800,612000,612200,612320,711000,711200,711400,711600,711800
Journey Pattern ,->,->,->,->,JP6,JP6,JP8,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP7,JP7,JP7,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP7,JP7,JP7,JP7,JP7,JP7,JP7,JP7
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Sunday,Sunday,Sunday,Sunday,Sunday
17,3300RU0818,-,-,Greythorn Drive,06:57,08:12,08:38,10:12,11:12,12:12,13:12,14:12,15:12,16:12,17:12,18:12,20:11,22:11,23:31,08:12,08:42,10:12,11:12,12:12,13:12,14:12,15:12,16:12,17:12,18:12,20:11,22:11,23:31,10:11,12:11,14:11,16:11,18:11
18,3300RU0482,-,-,Oakham Road,06:57,08:12,08:39,10:12,11:12,12:12,13:12,14:12,15:12,16:12,17:12,18:12,20:11,22:11,23:31,08:12,08:42,10:12,11:12,12:12,13:12,14:12,15:12,16:12,17:12,18:12,20:11,22:11,23:31,10:11,12:11,14:11,16:11,18:11
19,3300RU0174,-,-,Landmere Lane,06:58,08:13,08:41,10:13,11:13,12:13,13:13,14:13,15:13,16:13,17:13,18:13,20:12,22:12,23:32,08:13,08:43,10:13,11:13,12:13,13:13,14:13,15:13,16:13,17:13,18:13,20:12,22:12,23:32,10:12,12:12,14:12,16:12,18:12
20,3300RU0152,-,-,Ashworth Avenue,06:59,08:14,08:43,10:14,11:14,12:14,13:14,14:14,15:14,16:14,17:14,18:14,20:13,22:13,23:33,08:14,08:44,10:14,11:14,12:14,13:14,14:14,15:14,16:14,17:14,18:14,20:13,22:13,23:33,10:13,12:13,14:13,16:13,18:13
21,3300RU0153,-,-,Flawforth Lane,07:00,08:15,08:44,10:15,11:15,12:15,13:15,14:15,15:15,16:15,17:15,18:15,20:14,22:14,23:34,08:15,08:45,10:15,11:15,12:15,13:15,14:15,15:15,16:15,17:15,18:15,20:14,22:14,23:34,10:14,12:14,14:14,16:14,18:14
22,3300RU0695,-,-,Scout Hut,07:01,08:16,08:46,10:16,11:16,12:16,13:16,14:16,15:16,16:16,17:16,18:16,20:15,22:15,23:35,08:16,08:46,10:16,11:16,12:16,13:16,14:16,15:16,16:16,17:16,18:16,20:15,22:15,23:35,10:15,12:15,14:15,16:15,18:15
23,3300RU0452,-,-,Mill Lane,07:02,08:17,08:47,10:17,11:17,12:17,13:17,14:17,15:17,16:17,17:17,18:17,20:16,22:16,23:36,08:17,08:47,10:17,11:17,12:17,13:17,14:17,15:17,16:17,17:17,18:17,20:16,22:16,23:36,10:16,12:16,14:16,16:16,18:16
24,3300RU0453,-,-,Farmer Street,07:03,08:18,08:48,10:18,11:18,12:18,13:18,14:18,15:18,16:18,17:18,18:18,20:16,22:16,23:36,08:18,08:48,10:18,11:18,12:18,13:18,14:18,15:18,16:18,17:18,18:18,20:16,22:16,23:36,10:16,12:16,14:16,16:16,18:16
25,3300RU0465,-,-,Loughborough Road,07:04,08:19,08:49,10:19,11:19,12:19,13:19,14:19,15:19,16:19,17:19,18:19,20:17,22:17,23:37,08:19,08:49,10:19,11:19,12:19,13:19,14:19,15:19,16:19,17:19,18:19,20:17,22:17,23:37,10:17,12:17,14:17,16:17,18:17
26,3300RU0464,-,-,Albert Road,07:05,08:20,08:50,10:20,11:20,12:20,13:20,14:20,15:20,16:20,17:20,18:20,20:18,22:18,23:38,08:20,08:50,10:20,11:20,12:20,13:20,14:20,15:20,16:20,17:20,18:20,20:18,22:18,23:38,10:18,12:18,14:18,16:18,18:18
27,3300RU0461,-,-,Primary School,07:06,08:21,08:51,10:21,11:21,12:21,13:21,14:21,15:21,16:21,17:21,18:21,20:19,22:19,23:39,08:21,08:51,10:21,11:21,12:21,13:21,14:21,15:21,16:21,17:21,18:21,20:19,22:19,23:39,10:19,12:19,14:19,16:19,18:19
28,3300RU0460,-,-,Thomas Parkyn Close,07:06,08:21,08:51,10:21,11:21,12:21,13:21,14:21,15:21,16:21,17:21,18:21,20:19,22:19,23:39,08:21,08:51,10:21,11:21,12:21,13:21,14:21,15:21,16:21,17:21,18:21,20:19,22:19,23:39,10:19,12:19,14:19,16:19,18:19
29,3300RU0446,-,-,Gotham Lane,07:06,08:21,08:51,10:21,11:21,12:21,13:21,14:21,15:21,16:21,17:21,18:21,20:19,22:19,23:39,08:21,08:51,10:21,11:21,12:21,13:21,14:21,15:21,16:21,17:21,18:21,20:19,22:19,23:39,10:19,12:19,14:19,16:19,18:19
30,3300RU0754,-,-,Ash Lane,07:08,08:23,08:53,10:23,11:23,12:23,13:23,14:23,15:23,16:23,17:23,18:23,20:21,22:21,23:41,08:23,08:53,10:23,11:23,12:23,13:23,14:23,15:23,16:23,17:23,18:23,20:21,22:21,23:41,10:21,12:21,14:21,16:21,18:21
31,3300RU0755,-,-,Nottingham Road,07:09,08:24,08:54,10:24,11:24,12:24,13:24,14:24,15:24,16:24,17:24,18:24,20:22,22:22,23:42,08:24,08:54,10:24,11:24,12:24,13:24,14:24,15:24,16:24,17:24,18:24,20:22,22:22,23:42,10:22,12:22,14:22,16:22,18:22
32,3300RU0506,-,-,Main Street,07:11,08:26,08:56,10:26,11:26,12:26,13:26,14:26,15:26,16:26,17:26,18:26,20:24,22:24,23:44,08:26,08:56,10:26,11:26,12:26,13:26,14:26,15:26,16:26,17:26,18:26,20:24,22:24,23:44,10:24,12:24,14:24,16:24,18:24
33,3300RU0478,-,-,Loughborough Road,07:12,08:27,08:57,10:27,11:27,12:27,13:27,14:27,15:27,16:27,17:27,18:27,20:25,22:25,23:45,08:27,08:57,10:27,11:27,12:27,13:27,14:27,15:27,16:27,17:27,18:27,20:25,22:25,23:45,10:25,12:25,14:25,16:25,18:25
34,3300RU0597,-,-,Ashby Road,07:14,08:29,08:59,10:29,11:29,12:29,13:29,14:29,15:29,16:29,17:29,18:29,20:27,22:27,23:47,08:29,08:59,10:29,11:29,12:29,13:29,14:29,15:29,16:29,17:29,18:29,20:27,22:27,23:47,10:27,12:27,14:27,16:27,18:27
36,260007101,-,-,Vine Tree Terrace,07:17,08:32,09:02,10:32,11:32,12:32,13:32,14:32,15:32,16:32,17:32,18:32,20:29,22:29,23:49,08:32,09:02,10:32,11:32,12:32,13:32,14:32,15:32,16:32,17:32,18:32,20:29,22:29,23:49,10:29,12:29,14:29,16:29,18:29
37,260007700,-,-,Stanford Lane,07:20,08:35,09:05,10:35,11:35,12:35,13:35,14:35,15:35,16:35,17:35,18:35,20:33,22:33,23:53,08:35,09:05,10:35,11:35,12:35,13:35,14:35,15:35,16:35,17:35,18:35,20:33,22:33,23:53,10:33,12:33,14:33,16:33,18:33
38,260007451,-,-,Railway Station,07:23,08:38,09:08,10:38,11:38,12:38,13:38,14:38,15:38,16:38,17:38,18:38,20:35,22:35,23:55,08:38,09:08,10:38,11:38,12:38,13:38,14:38,15:38,16:38,17:38,18:38,20:35,22:35,23:55,10:35,12:35,14:35,16:35,18:35
39,260007346,-,-,The Greyhound,07:23,08:38,09:08,10:38,11:38,12:38,13:38,14:38,15:38,16:38,17:38,18:38,20:36,22:36,23:56,08:38,09:08,10:38,11:38,12:38,13:38,14:38,15:38,16:38,17:38,18:38,20:36,22:36,23:56,10:36,12:36,14:36,16:36,18:36
40,260007342,-,-,Beacon Bingo,07:24,08:39,09:09,10:39,11:39,12:39,13:39,14:39,15:39,16:39,17:39,18:39,20:36,22:36,23:56,08:39,09:09,10:39,11:39,12:39,13:39,14:39,15:39,16:39,17:39,18:39,20:36,22:36,23:56,10:36,12:36,14:36,16:36,18:36
41,260007337,-,-,Aumberry Gap,07:25,08:40,09:10,10:40,11:40,12:40,13:40,14:40,15:40,16:40,17:40,18:40,20:37,22:37,23:57,08:40,09:10,10:40,11:40,12:40,13:40,14:40,15:40,16:40,17:40,18:40,20:37,22:37,23:57,10:37,12:37,14:37,16:37,18:37
42,260007456,-,-,Baxter Gate,07:26,08:41,09:11,10:41,11:41,12:41,13:41,14:41,15:41,16:41,17:41,18:41,20:38,22:38,23:58,08:41,09:11,10:41,11:41,12:41,13:41,14:41,15:41,16:41,17:41,18:41,20:38,22:38,23:58,10:38,12:38,14:38,16:38,18:38
