Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Line,->,->,->,->,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
RouteID,->,->,->,->,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Journey Code,->,->,->,->,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Journey Pattern ,->,->,->,->,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday
35,3300RU0929,-,-,Yew Tree Road,06:44,06:44,07:34,07:34,08:54,08:54,09:44,09:44,10:54,10:54,12:04,12:04,13:14,13:14,14:24,14:24,15:34,15:34,16:55,16:55,17:55,17:55,18:50,18:50
36,3300RU0892,-,-,High Hazles Road,06:45,06:45,07:35,07:35,08:55,08:55,09:45,09:45,10:55,10:55,12:05,12:05,13:15,13:15,14:25,14:25,15:35,15:35,16:56,16:56,17:56,17:56,18:51,18:51
37,3300RU0281,-,-,East Acres,06:46,06:46,07:36,07:36,08:56,08:56,09:46,09:46,10:56,10:56,12:06,12:06,13:16,13:16,14:26,14:26,15:36,15:36,16:56,16:56,17:56,17:56,18:52,18:52
38,3300RU0835,-,-,Candleby Lane,06:48,06:48,07:38,07:38,08:58,08:58,09:48,09:48,10:58,10:58,12:08,12:08,13:18,13:18,14:28,14:28,15:38,15:38,16:58,16:58,17:58,17:58,18:54,18:54
39,3300RU0881,-,-,Welfare P & R,06:48,06:48,07:38,07:38,08:58,08:58,09:48,09:48,10:58,10:58,12:08,12:08,13:18,13:18,14:28,14:28,15:38,15:38,16:58,16:58,17:58,17:58,18:54,18:54
40,3300RU0836,-,-,Little Meadow,06:49,06:49,07:39,07:39,08:59,08:59,09:49,09:49,10:59,10:59,12:09,12:09,13:19,13:19,14:29,14:29,15:39,15:39,16:59,16:59,17:59,17:59,18:55,18:55
41,3300RU0837,-,-,Woodview,06:50,06:50,07:39,07:39,08:59,08:59,09:49,09:49,10:59,10:59,12:09,12:09,13:19,13:19,14:29,14:29,15:39,15:39,16:59,16:59,17:59,17:59,18:56,18:56
42,3300RU0194,-,-,Cartbridge,06:51,06:51,07:40,07:40,09:00,09:00,09:50,09:50,11:00,11:00,12:10,12:10,13:20,13:20,14:30,14:30,15:40,15:40,17:00,17:00,18:00,18:00,18:57,18:57
43,3300RU0330,-,-,Daleside,06:52,06:52,07:41,07:41,09:01,09:01,09:51,09:51,11:01,11:01,12:11,12:11,13:21,13:21,14:31,14:31,15:41,15:41,17:01,17:01,18:01,18:01,18:58,18:58
44,3300RU0327,-,-,White Furrows,06:52,06:52,07:41,07:41,09:01,09:01,09:51,09:51,11:01,11:01,12:11,12:11,13:21,13:21,14:31,14:31,15:41,15:41,17:01,17:01,18:01,18:01,18:58,18:58
