Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Line,->,->,->,->,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528
RouteID,->,->,->,->,5,5,5,5,6,6,7,7,7,7,7,7,8,8,9,9,8,8,9,9,6,6
Journey Code,->,->,->,->,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Journey Pattern ,->,->,->,->,5,5,5,5,6,6,7,7,7,7,7,7,8,8,9,9,8,8,9,9,6,6
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday
26,3300BR0292,-,-,Highfield Drive,07:19,07:19,08:19,08:19,09:19,09:19,11:19,11:19,13:19,13:19,15:19,15:19,-,-,16:35,16:35,-,-,17:55,17:55,18:24,18:24
27,3300BR0293,-,-,Temple Drive,07:19,07:19,08:19,08:19,09:19,09:19,11:19,11:19,13:19,13:19,15:19,15:19,-,-,16:35,16:35,-,-,17:55,17:55,18:24,18:24
28,3300BR0296,-,-,Nottingham Road,07:20,07:20,08:20,08:20,09:20,09:20,11:20,11:20,13:20,13:20,15:20,15:20,-,-,16:36,16:36,-,-,17:56,17:56,18:25,18:25
29,3300BR0297,-,-,Spring Terrace,07:20,07:20,08:20,08:20,09:20,09:20,11:20,11:20,13:20,13:20,15:20,15:20,-,-,16:36,16:36,-,-,17:56,17:56,18:25,18:25
30,3300BR0236,-,-,Church,07:21,07:21,08:21,08:21,09:21,09:21,-,-,-,-,-,-,-,-,16:37,16:37,-,-,17:57,17:57,18:26,18:26
31,3300BR0234,-,-,Edward Road,07:21,07:21,08:21,08:21,09:21,09:21,-,-,-,-,-,-,-,-,16:37,16:37,-,-,17:57,17:57,18:26,18:26
32,3300BR0233,-,-,Atkinson Gardens,07:22,07:22,08:22,08:22,09:22,09:22,-,-,-,-,-,-,-,-,16:38,16:38,-,-,17:58,17:58,18:27,18:27
33,3300BR0242,-,-,Oak Drive,07:22,07:22,08:22,08:22,09:22,09:22,-,-,-,-,-,-,-,-,16:38,16:38,-,-,17:58,17:58,18:27,18:27
34,3300BR0240,-,-,Ash Crescent,07:23,07:23,08:23,08:23,09:23,09:23,-,-,-,-,-,-,-,-,16:39,16:39,-,-,17:59,17:59,18:28,18:28
35,3300BR0238,-,-,St Patricks Road,07:23,07:23,08:23,08:23,09:23,09:23,-,-,-,-,-,-,-,-,16:39,16:39,-,-,17:59,17:59,18:28,18:28
